pass_no,rel,exit_code,seconds,log_file
1,models\ml2\train_tallos_curve_ml2.py,0,9.03,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__train_tallos_curve_ml2.py.log
1,models\ml2\apply_ajuste_poscosecha_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_ajuste_poscosecha_ml2.py.log
1,models\ml2\apply_desp_poscosecha_ml2.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_desp_poscosecha_ml2.py.log
1,models\ml2\apply_dh_poscosecha_ml2.py,1,0.73,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_dh_poscosecha_ml2.py.log
1,models\ml2\apply_harvest_horizon_ml2.py,0,4.45,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_harvest_horizon_ml2.py.log
1,models\ml2\apply_harvest_start_ml2.py,0,4.54,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_harvest_start_ml2.py.log
1,models\ml2\apply_hidr_poscosecha_ml2.py,1,0.71,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_hidr_poscosecha_ml2.py.log
1,models\ml2\apply_peso_tallo_ml2.py,0,13.40,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_peso_tallo_ml2.py.log
1,models\ml2\apply_share_grado_ml2.py,1,7.82,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_share_grado_ml2.py.log
1,models\ml2\apply_tallos_curve_ml2.py,0,5.29,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__models__ml2__apply_tallos_curve_ml2.py.log
1,eval\build_kpis_ajuste_poscosecha_ml2.py,1,0.70,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_ajuste_poscosecha_ml2.py.log
1,eval\build_kpis_desp_poscosecha_ml2.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_desp_poscosecha_ml2.py.log
1,eval\build_kpis_dh_poscosecha_ml2.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_dh_poscosecha_ml2.py.log
1,eval\build_kpis_harvest_horizon_ml2.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_harvest_horizon_ml2.py.log
1,eval\build_kpis_harvest_start_ml2.py,1,0.67,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_harvest_start_ml2.py.log
1,eval\build_kpis_hidr_poscosecha_ml2.py,1,0.72,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__eval__build_kpis_hidr_poscosecha_ml2.py.log
