layer,step,ok,skipped,seconds,returncode,stdout,stderr
ml2,build_ds_harvest_horizon_ml2_v2,1,0,44.101,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_harvest_horizon_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_harvest_horizon_ml2_v2.err.log
ml2,train_harvest_horizon_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_harvest_horizon_ml2.err.log
ml2,apply_harvest_horizon_ml2,1,0,5.662,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_harvest_horizon_ml2.err.log
ml2,universe_harvest_grid_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__universe_harvest_grid_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__universe_harvest_grid_ml2.err.log
ml2,build_ds_tallos_curve_ml2_v2,1,0,1.391,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_tallos_curve_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_tallos_curve_ml2_v2.err.log
ml2,train_tallos_curve_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_tallos_curve_ml2.err.log
ml2,apply_tallos_curve_ml2,1,0,4.938,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_tallos_curve_ml2.err.log
ml2,build_ds_share_grado_ml2_v1,1,0,1.981,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_share_grado_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_share_grado_ml2_v1.err.log
ml2,train_share_grado_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_share_grado_ml2.err.log
ml2,apply_share_grado_ml2,1,0,6.748,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_share_grado_ml2.err.log
ml2,build_ds_peso_tallo_ml2_v1,1,0,1.739,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_peso_tallo_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_peso_tallo_ml2_v1.err.log
ml2,train_peso_tallo_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_peso_tallo_ml2.err.log
ml2,apply_peso_tallo_ml2,1,0,11.384,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_peso_tallo_ml2.err.log
ml2,build_ds_dh_poscosecha_ml2_v1,1,0,3.107,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_dh_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_dh_poscosecha_ml2_v1.err.log
ml2,train_dh_poscosecha_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_dh_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_dh_poscosecha_ml2.err.log
ml2,apply_dh_poscosecha_ml2,1,0,9.049,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_dh_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_dh_poscosecha_ml2.err.log
ml2,build_ds_hidr_poscosecha_ml2_v1,1,0,5.676,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_hidr_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_hidr_poscosecha_ml2_v1.err.log
ml2,train_hidr_poscosecha_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_hidr_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_hidr_poscosecha_ml2.err.log
ml2,apply_hidr_poscosecha_ml2,1,0,11.698,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_hidr_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_hidr_poscosecha_ml2.err.log
ml2,build_ds_desp_poscosecha_ml2_v1,1,0,2.905,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_desp_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_desp_poscosecha_ml2_v1.err.log
ml2,train_desp_poscosecha_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_desp_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_desp_poscosecha_ml2.err.log
ml2,apply_desp_poscosecha_ml2,1,0,11.484,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_desp_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_desp_poscosecha_ml2.err.log
ml2,build_ds_ajuste_poscosecha_ml2_v1,1,0,2.305,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_ajuste_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_ds_ajuste_poscosecha_ml2_v1.err.log
ml2,train_ajuste_poscosecha_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_ajuste_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__train_ajuste_poscosecha_ml2.err.log
ml2,apply_ajuste_poscosecha_ml2,1,0,10.153,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_ajuste_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_ajuste_poscosecha_ml2.err.log
ml2,build_pred_tallos_ml2_full,1,0,1.169,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_tallos_ml2_full.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_tallos_ml2_full.err.log
ml2,build_pred_kg_cajas_ml2,1,0,2.332,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_kg_cajas_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_kg_cajas_ml2.err.log
ml2,build_pred_poscosecha_ml2_seed_mix_grado_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_seed_mix_grado_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_seed_mix_grado_dia.err.log
ml2,apply_dh_poscosecha_ml1_on_ml2_seed,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_dh_poscosecha_ml1_on_ml2_seed.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_dh_poscosecha_ml1_on_ml2_seed.err.log
ml2,apply_hidr_poscosecha_ml1_on_ml2_dh,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_hidr_poscosecha_ml1_on_ml2_dh.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_hidr_poscosecha_ml1_on_ml2_dh.err.log
ml2,apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__apply_desp_ajuste_poscosecha_ml1_on_ml2_hidr.err.log
ml2,build_pred_poscosecha_ml2_views_from_full,1,0,1.315,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_views_from_full.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_views_from_full.err.log
ml2,build_pred_poscosecha_ml2_final_views,1,0,3.897,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_final_views.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\ml2__build_pred_poscosecha_ml2_final_views.err.log
eval,kpis_ajuste_poscosecha_ml2,1,0,1.977,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_ajuste_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_ajuste_poscosecha_ml2.err.log
eval,kpis_desp_poscosecha_ml2,1,0,1.687,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_desp_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_desp_poscosecha_ml2.err.log
eval,kpis_dh_poscosecha_ml2,1,0,1.551,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_dh_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_dh_poscosecha_ml2.err.log
eval,kpis_harvest_horizon_ml2,0,0,1.440,1,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\eval__kpis_harvest_horizon_ml2.err.log
