layer,step,ok,skipped,seconds,returncode,stdout,stderr
silver,dim_peso_tallo_baseline,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_baseline.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_baseline.err.log
silver,dim_peso_tallo_promedio_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_promedio_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_promedio_dia.err.log
silver,dim_factor_uph_cosecha_clima,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_factor_uph_cosecha_clima.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_factor_uph_cosecha_clima.err.log
silver,dim_mermas_ajuste_fecha_post,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_mermas_ajuste_fecha_post.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_mermas_ajuste_fecha_post.err.log
silver,dim_dh_baseline_grado_destino,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_dh_baseline_grado_destino.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_dh_baseline_grado_destino.err.log
silver,dim_hidratacion_fecha_cosecha_grado_destino,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_hidratacion_fecha_cosecha_grado_destino.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_hidratacion_fecha_cosecha_grado_destino.err.log
silver,dim_hidratacion_baseline_grado_destino,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_hidratacion_baseline_grado_destino.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_hidratacion_baseline_grado_destino.err.log
silver,dim_variedad_canon,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_variedad_canon.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_variedad_canon.err.log
silver,dim_clima_bloque_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_clima_bloque_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_clima_bloque_dia.err.log
silver,dim_estado_termico_cultivo_bloque_fecha,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_estado_termico_cultivo_bloque_fecha.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_estado_termico_cultivo_bloque_fecha.err.log
silver,dim_mix_proceso_semana_from_ventas,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_mix_proceso_semana_from_ventas.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_mix_proceso_semana_from_ventas.err.log
silver,fact_capacidad_proceso_hist,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_capacidad_proceso_hist.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_capacidad_proceso_hist.err.log
silver,dim_baseline_capacidad_tallos_h_persona,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_baseline_capacidad_tallos_h_persona.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_baseline_capacidad_tallos_h_persona.err.log
silver,dim_capacidad_baseline_tallos_proceso,1,0,9.589,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_capacidad_baseline_tallos_proceso.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_capacidad_baseline_tallos_proceso.err.log
silver,milestones_windows,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__milestones_windows.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__milestones_windows.err.log
preds,pred_milestones_baseline,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_milestones_baseline.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_milestones_baseline.err.log
preds,milestones_final,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__milestones_final.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__milestones_final.err.log
preds,dim_mediana_etapas_tipo_sp_variedad_area,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__dim_mediana_etapas_tipo_sp_variedad_area.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__dim_mediana_etapas_tipo_sp_variedad_area.err.log
preds,milestone_window_ciclo_final_with_inference,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__milestone_window_ciclo_final_with_inference.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__milestone_window_ciclo_final_with_inference.err.log
preds,dim_cosecha_progress_bloque_fecha,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__dim_cosecha_progress_bloque_fecha.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__dim_cosecha_progress_bloque_fecha.err.log
preds,pred_oferta_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_oferta_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_oferta_dia.err.log
preds,pred_oferta_grado,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_oferta_grado.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_oferta_grado.err.log
preds,pred_peso_grado,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_grado.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_grado.err.log
preds,pred_peso_hidratado_grado,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_hidratado_grado.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_hidratado_grado.err.log
preds,pred_peso_final_ajustado_grado,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_final_ajustado_grado.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_peso_final_ajustado_grado.err.log
preds,pred_cajas_from_peso_final,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_cajas_from_peso_final.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\preds__pred_cajas_from_peso_final.err.log
